DrugID,Drug_Target
DB00157,4705
DB00148,1152
DB00087,1043
DB00604,3360
DB00904,3360
DB01079,3360
DB01233,3360
DB08810,3360
DB00893,2512
DB02285,2512
DB00117,3034
DB00126,5351
DB00139,5351
DB00119,5315
DB01733,5315
DB02726,5315
DB07628,5315
DB07692,5315
DB07697,5315
DB00157,4725
DB00204,3757
DB00276,3757
DB00308,3757
DB00342,3757
DB00457,3757
DB00489,3757
DB00590,3757
DB00604,3757
DB00637,3757
DB00661,3757
DB00679,3757
DB00908,3757
DB01100,3757
DB01110,3757
DB01118,3757
DB01136,3757
DB01162,3757
DB01182,3757
DB01218,3757
DB06144,3757
DB00762,116447
DB01030,116447
DB00185,1128
DB00202,1128
DB00209,1128
DB00219,1128
DB00245,1128
DB00246,1128
DB00280,1128
DB00321,1128
DB00332,1128
DB00334,1128
DB00340,1128
DB00354,1128
DB00363,1128
DB00366,1128
DB00376,1128
DB00383,1128
DB00387,1128
DB00392,1128
DB00411,1128
DB00420,1128
DB00424,1128
DB00434,1128
DB00458,1128
DB00462,1128
DB00496,1128
DB00505,1128
DB00508,1128
DB00517,1128
DB00540,1128
DB00543,1128
DB00572,1128
DB00622,1128
DB00670,1128
DB00715,1128
DB00725,1128
DB00747,1128
DB00767,1128
DB00771,1128
DB00777,1128
DB00782,1128
DB00785,1128
DB00804,1128
DB00805,1128
DB00809,1128
DB00810,1128
DB00835,1128
DB00875,1128
DB00907,1128
DB00934,1128
DB00940,1128
DB00942,1128
DB00979,1128
DB00986,1128
DB01036,1128
DB01062,1128
DB01069,1128
DB01085,1128
DB01142,1128
DB01148,1128
DB01151,1128
DB01175,1128
DB01224,1128
DB01231,1128
DB01233,1128
DB01238,1128
DB01239,1128
DB01403,1128
DB01409,1128
DB01591,1128
DB01618,1128
DB04365,1128
DB04843,1128
DB06702,1128
DB00157,4726
DB00470,1269
DB00486,1269
DB00157,6307
DB00119,5162
DB00157,5162
DB00157,92483
DB00118,262
DB01917,262
DB03754,262
DB08163,262
DB00114,64902
DB00119,64902
DB00145,64902
DB00160,64902
DB00973,6646
DB01094,6646
DB00113,634
DB02944,634
DB00141,5973
DB00208,64805
DB00374,64805
DB01240,64805
DB06209,64805
DB08816,64805
DB00272,3274
DB00501,3274
DB00585,3274
DB00667,3274
DB00751,3274
DB00863,3274
DB00927,3274
DB00940,3274
DB01142,3274
DB08805,3274
DB08806,3274
DB00987,5423
DB03222,5423
DB07479,5423
DB00173,353
DB01632,353
DB03506,353
DB04272,353
DB00812,5740
DB01240,5740
DB08675,5740
DB00171,19
DB01016,19
DB01599,19
DB00360,7166
DB03271,7166
DB00255,2099
DB00269,2099
DB00286,2099
DB00294,2099
DB00304,2099
DB00367,2099
DB00396,2099
DB00481,2099
DB00539,2099
DB00603,2099
DB00655,2099
DB00675,2099
DB00783,2099
DB00823,2099
DB00882,2099
DB00890,2099
DB00947,2099
DB00957,2099
DB00977,2099
DB01065,2099
DB01108,2099
DB01183,2099
DB01185,2099
DB01196,2099
DB01357,2099
DB01406,2099
DB01431,2099
DB01645,2099
DB02615,2099
DB02715,2099
DB03742,2099
DB03802,2099
DB04471,2099
DB04573,2099
DB04574,2099
DB04575,2099
DB06713,2099
DB06871,2099
DB06898,2099
DB06927,2099
DB07086,2099
DB07087,2099
DB07195,2099
DB07567,2099
DB07638,2099
DB07678,2099
DB07707,2099
DB07708,2099
DB07712,2099
DB07932,2099
DB07933,2099
DB07991,2099
DB08020,2099
DB08047,2099
DB08048,2099
DB08320,2099
DB08398,2099
DB08595,2099
DB08737,2099
DB08773,2099
DB01025,3562
DB00157,1645
DB00936,1645
DB00945,1645
DB03461,1645
DB04674,1645
DB07768,1645
DB07931,1645
DB00157,11112
DB00186,2569
DB00231,2569
DB00349,2569
DB00404,2569
DB00466,2569
DB00475,2569
DB00546,2569
DB00628,2569
DB00683,2569
DB00690,2569
DB00801,2569
DB00829,2569
DB00842,2569
DB00897,2569
DB01068,2569
DB01215,2569
DB01558,2569
DB01559,2569
DB01567,2569
DB01588,2569
DB01589,2569
DB01594,2569
DB01595,2569
DB00358,3039
DB00893,3039
DB02126,3039
DB07427,3039
DB07428,3039
DB07645,3039
DB08077,3039
DB08262,3039
DB08486,3039
DB08632,3039
DB00157,3291
DB00367,367
DB00421,367
DB00499,367
DB00621,367
DB00624,367
DB00665,367
DB00687,367
DB00858,367
DB00984,367
DB01128,367
DB01185,367
DB01395,367
DB01406,367
DB01420,367
