n	gene_name
340	LY6E
341	LYVE1
342	LYZ2
343	MAP1LC3B
344	MAPK9
345	MAPRE1
346	MARCHF2
347	MARCHF6
348	MARCKSL1
349	MARF1
350	MAT1A
351	MBL2
352	MCM7
353	ME1
354	METTL23
355	METTL7A
356	MFSD2A
357	MGLL
358	MID1IP1
359	MIF
360	MORF4L2
361	MRPL1
362	MRPL15
363	MRPL34
364	MRPS22
365	MT1A
366	MTARC2
367	MTHFD1
368	MTSS1
369	MTTP
370	MUG1
371	MYD88
372	MYH9
373	NAA15
374	NANS
375	NDFIP1
376	NDUFA6
377	NDUFA7
378	NDUFB2
379	NECTIN3
380	NFE2L2
381	NHP2
382	NID1
383	NIT1
384	NLN
385	NME1
386	NME3
387	NOL5
388	NOP53
389	NOTCH2
390	NR1D2
391	NR1I2
392	NRBP2
393	NREP
394	NSDHL
395	NT5E
396	NTPCR
397	NUCB2
398	NUDT4
399	OBP3
400	OLA1
401	OPLAH
402	OSBPL1A
403	PALD1
404	PALMD
405	PAQR9
406	PARP14
407	PBLD1
408	PCNA
409	PCTP
410	PCYT1A
411	PDCD4
412	PDE4B
413	PDIA5
414	PDIA6
415	PDLIM1
416	PEX11A
417	PGD
418	PGK1
419	PHF11
420	PHYHD1
421	PIM3
422	PINK1
423	PKLR
424	PLA2G12A
425	PLIN2
426	PLIN3
427	PLPP3
428	PLXNA2
429	PNPLA2
430	PNPLA7
431	PNPLA8
432	POLD4
433	POLG2
434	POLR2B
435	POLR2H-PS1
436	POR
437	PPA1
438	PPCS
439	PPOX
440	PPP1R14A
441	PPP1R21
442	PRC1
443	PRDX5
444	PRKACA
445	PROSER2
446	PRR13
447	PRSS23
448	PSENEN
449	PSMB10
450	PSMB3
451	PSMB4
452	PSMB8
453	PSMB9
454	PTGR3
455	PTMA
456	PTPRF
457	PTTG1
458	PYGL
459	R3HDM2
460	RAB17
461	RAB29
462	RAB30
463	RAB34
464	RAB38
465	RAB5IF
466	RAB7A
467	RABAC1
468	RAN
469	RANGAP1
470	RAPGEF4
471	RARB
472	RB1
473	RBFA
474	RCAN1
475	RCL1
476	RDH11
477	RETREG1
478	REX1BD
479	RGD1308742
480	RGD1309534
481	RGD1309779
482	RGD1309808
483	RGD1311251
484	RGD1563941
485	RGD1564804
486	RGD1565033
487	RHOB
488	RND2
489	RNF125
490	RNF139
491	RNF149
492	RNF26
493	RORC
494	RPA1
495	RPA3
